accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch,roll,leg_angle,knee_angle,foot_contact,touchdown_event,impact,vibration,terrain_height,terrain_slope,terrain
0.0073,-0.0158,9.8092,-0.4343,0.7322,11.6299,-0.287,-0.156,90.029,172.248,0,False,0.038,10.0,-0.051,0.091,Flat
0.0449,-0.0025,10.5336,-0.3532,0.8151,7.6486,-0.183,-0.256,90.05,173.793,1,True,14.656,7.892,0.009,0.102,Flat
0.1067,-0.0203,10.1914,-0.4158,0.0116,6.2119,-0.096,-0.178,90.02,174.923,1,False,8.141,5.832,-0.01,-0.037,Flat
-0.0339,0.0116,10.0335,0.1046,0.1865,2.9152,0.026,-0.095,89.995,175.484,1,False,4.354,3.058,-0.052,-0.067,Flat
-0.0221,-0.0319,9.9181,0.7413,0.0662,2.8149,-0.188,-0.124,90.045,175.95,1,False,2.438,2.71,-0.044,0.143,Flat
-0.0212,-0.0231,9.9212,-0.0965,-2.0347,0.3155,-0.075,-0.017,89.905,176.126,1,False,1.365,1.694,-0.063,-0.376,Flat
0.0251,-0.0155,9.8715,-0.3308,-1.7042,0.9544,-0.165,0.004,89.753,176.355,1,False,0.772,2.036,-0.041,-0.614,Flat
0.0242,-0.0049,9.8066,-0.037,-2.818,0.241,-0.123,0.057,89.556,176.548,1,False,0.354,2.057,-0.024,-0.912,Flat
-0.03,0.0369,9.7761,-0.0923,-2.7505,-1.5417,-0.234,0.207,89.328,176.274,1,False,0.255,2.645,-0.084,-1.217,Flat
-0.0048,-0.0265,9.8319,0.0116,0.4799,-3.069,-0.339,0.013,89.296,175.684,1,False,0.205,3.227,-0.175,-0.843,Flat
0.0625,-0.0594,9.7853,-0.4606,-1.3213,-2.5469,-0.227,0.055,89.183,175.312,1,False,0.146,2.526,-0.168,-1.066,Flat
0.0921,0.1457,9.8307,-0.4873,-0.8005,-1.2534,-0.192,0.15,89.21,175.035,1,False,0.0,1.622,-0.178,-0.769,Flat
-0.0173,-0.0518,9.7263,-0.2355,-0.5199,-0.8777,-0.059,0.154,89.161,174.682,1,False,0.0,2.041,-0.2,-0.936,Flat
0.0984,-0.0411,9.8519,-0.4489,0.6309,0.6305,-0.243,0.051,89.177,174.77,1,False,0.0,0.585,-0.148,-0.803,Flat
-0.0716,0.0086,9.889,0.0749,0.0938,0.1861,-0.321,-0.101,89.192,174.779,1,False,0.0,0.174,-0.151,-0.77,Flat
0.0062,-0.0612,9.7416,0.8301,2.4673,0.8754,-0.227,0.093,89.353,174.972,1,False,0.0,1.854,-0.135,-0.301,Flat
-0.0041,-0.0082,9.8269,0.7056,0.7203,2.9928,-0.119,0.037,89.42,175.506,1,False,0.0,3.085,-0.059,-0.386,Flat
0.0362,-0.0663,9.8115,-0.2424,-1.4565,1.3316,-0.291,-0.007,89.291,175.672,1,False,0.0,1.594,-0.068,-0.962,Flat
0.0018,-0.0542,9.8145,0.1153,1.4011,3.7558,-0.323,0.023,89.305,176.235,1,False,0.0,3.057,-0.005,-0.705,Flat
-0.0454,-0.0327,9.7026,-0.0731,-1.1715,0.6115,-0.281,0.165,89.241,176.411,1,False,0.0,1.344,-0.028,-0.89,Flat
-0.0655,0.0918,9.9553,-0.5861,-1.0982,0.3919,0.017,-0.006,89.15,176.455,1,False,0.0,0.776,-0.042,-1.064,Flat
-0.0111,-0.0687,9.7981,-0.1357,1.522,-0.9487,0.053,-0.05,89.291,176.321,1,False,0.0,1.542,-0.094,-0.439,Flat
-0.0386,0.0158,9.8063,1.0443,2.104,1.524,0.038,-0.045,89.422,176.587,1,False,0.023,2.067,-0.041,-0.254,Flat
0.0418,0.0227,9.7641,-0.2483,0.3852,-1.1389,0.077,-0.25,89.448,176.354,1,False,0.191,1.33,-0.099,-0.457,Flat
